Algorithm,DataType,DataSize,ExecutionTime(ms),Comparisons
String MergeSort with LCP,ReverseSorted,2000,8.566166,17091
String MergeSort with LCP,NearlySorted,2000,9.289500,21854
String MergeSort with LCP,CommonPrefix,2000,19.322209,240585
MSD Radix Sort,Random,2000,7.048667,0
MSD Radix Sort,ReverseSorted,2000,7.526541,0
MSD Radix Sort,NearlySorted,2000,7.684125,0
MSD Radix Sort,CommonPrefix,2000,22.269542,0
Hybrid MSD Radix Sort,Random,2000,1.257042,0
Hybrid MSD Radix Sort,ReverseSorted,2000,2.645375,0
Hybrid MSD Radix Sort,NearlySorted,2000,1.531250,0
Hybrid MSD Radix Sort,CommonPrefix,2000,20.802166,0
Standard QuickSort,Random,2100,2.826792,25287
Standard QuickSort,ReverseSorted,2100,2.224041,19893
Standard QuickSort,NearlySorted,2100,2.203250,20288
Standard QuickSort,CommonPrefix,2100,3.442042,30845
Standard MergeSort,Random,2100,7.336875,20520
Standard MergeSort,ReverseSorted,2100,5.989375,11456
Standard MergeSort,NearlySorted,2100,6.315834,15985
Standard MergeSort,CommonPrefix,2100,10.792708,20499
String QuickSort,Random,2100,1.889208,0
String QuickSort,ReverseSorted,2100,5.285709,0
String QuickSort,NearlySorted,2100,4.817541,0
String QuickSort,CommonPrefix,2100,2.357042,0
String MergeSort with LCP,Random,2100,10.719042,28862
String MergeSort with LCP,ReverseSorted,2100,9.162417,17916
String MergeSort with LCP,NearlySorted,2100,9.261042,22686
String MergeSort with LCP,CommonPrefix,2100,20.493792,254246
MSD Radix Sort,Random,2100,7.409917,0
MSD Radix Sort,ReverseSorted,2100,7.963209,0
MSD Radix Sort,NearlySorted,2100,8.122791,0
MSD Radix Sort,CommonPrefix,2100,26.413458,0
Hybrid MSD Radix Sort,Random,2100,1.338458,0
Hybrid MSD Radix Sort,ReverseSorted,2100,2.812750,0
Hybrid MSD Radix Sort,NearlySorted,2100,1.604834,0
Hybrid MSD Radix Sort,CommonPrefix,2100,27.970625,0
Standard QuickSort,Random,2200,2.826708,25416
Standard QuickSort,ReverseSorted,2200,2.326750,20938
Standard QuickSort,NearlySorted,2200,2.340750,21491
Standard QuickSort,CommonPrefix,2200,3.158708,28217
Standard MergeSort,Random,2200,7.518833,21659
Standard MergeSort,ReverseSorted,2200,6.333584,11940
Standard MergeSort,NearlySorted,2200,6.466667,17225
Standard MergeSort,CommonPrefix,2200,11.580583,21651
String QuickSort,Random,2200,1.854791,0
String QuickSort,ReverseSorted,2200,5.664166,0
String QuickSort,NearlySorted,2200,5.116209,0
String QuickSort,CommonPrefix,2200,2.413375,0
String MergeSort with LCP,Random,2200,11.050584,30584
String MergeSort with LCP,ReverseSorted,2200,9.596000,18655
String MergeSort with LCP,NearlySorted,2200,9.908625,24663
